step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.187960283104253,0,0.0,0.9243303953079083,0,0.0,0.9323327626294224,0,0.0,1.0,0,0.0,1.0,0,0.0,0.934577577924361,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.938233032842651,0,0.0,0.9259135359494386,0,0.0,0.9294330692850437,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9356168191448813,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.327952768364966,0,0.0,0.9584219488305363,0,0.0,0.9894518863929989,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9902720313450267,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9904559963253211,0,0.0,0.9884214416190171,0,0.0,0.9526283770453022,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9903560305272939,0,0.0,1.0,0,0.0
15.0,2,3.0,0.075,11.674951962206235,1,2.0,0.7745656566728573,1,1.0,0.627094181900325,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9465484851959746,0,0.0,0.9094122452218607,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9500972773278638,0,0.0,0.9617243583736185,0,0.0,0.9441198463239923,0,0.0,0.6938260191285556,0,0.0,0.9147139564661988,0,0.0,0.9872622024866998,0,0.0,0.9586383809156352,0,0.0,0.8159347585300332,2,3.0
20.0,4,12.0,0.21428571428571427,11.148171583770262,1,1.0,0.7037086457816806,2,11.0,0.5026173126959301,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9346749951471843,0,0.0,0.957010844907129,0,0.0,1.0,0,0.0,1.0,0,0.0,0.953694738000505,1,1.0,0.729109849359013,0,0.0,0.9675516723275057,0,0.0,0.9390266145109103,0,0.0,0.9716018757679686,0,0.0,0.9409060273127169,0,0.0,0.9335008403272101,0,0.0,0.958965536462253,4,13.0
25.0,6,22.0,0.3055555555555556,10.399563504418337,3,12.0,0.6378017033904496,0,5.0,0.7707517696294888,0,0.0,0.9665929764330461,0,0.0,0.9872622024866998,0,0.0,0.9649840688557108,0,0.0,0.7556632028789612,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9726974188788567,3,10.0,0.48640641719785926,0,0.0,0.9511163598887622,0,4.0,0.6705490165444138,0,0.0,0.808753807559396,0,0.0,1.0,0,0.0,0.9721405397420646,0,0.0,0.697349532801203,6,31.0
30.0,7,21.0,0.2625,9.274582475684056,0,9.0,0.6710709950146094,0,3.0,0.9315392753131204,0,0.0,0.6184463784503923,0,0.0,0.9409060273127169,0,0.0,0.9729009374897338,2,7.0,0.4715209527905066,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9600608742240789,0,7.0,0.5110908608216184,0,4.0,0.5291798984105843,1,7.0,0.6769205692095503,1,4.0,0.7130201447045108,0,4.0,0.45543036887168264,0,0.0,0.7442695303240272,3,7.0,0.4324024533437693,7,52.0
35.0,17,83.0,0.8645833333333334,9.078435053436658,1,1.0,0.711506557284793,1,3.0,0.7043118259126319,1,4.0,0.32469414499536614,0,0.0,1.0,0,0.0,0.95530168869559,3,22.0,0.4891065211020048,0,0.0,1.0,0,0.0,0.9872622024866998,0,0.0,0.9317015896902239,0,0.0,0.8207409634341294,3,16.0,0.6958739906887497,3,21.0,0.5552591467703706,0,0.0,0.8696746180226441,0,4.0,0.8666253408821202,1,4.0,0.6297968587241389,4,23.0,0.11642756661075655,17,98.0
40.0,18,114.0,1.0178571428571428,9.056495982674894,4,15.0,0.5914788747321776,2,13.0,0.4804554264100747,0,5.0,0.8785984831192618,0,0.0,1.0,0,0.0,0.9824618050277156,0,10.0,0.4746511797669469,0,6.0,0.38463824370446087,0,0.0,0.9409060273127169,0,0.0,0.9365009807329686,0,0.0,0.9705084736895243,4,33.0,0.651947310070913,5,40.0,0.24957648832163368,0,0.0,0.9483761860914702,0,4.0,0.8929930159987146,3,17.0,0.4955684852846962,0,18.0,0.4921453238758055,18,161.0
45.0,16,159.0,1.325,9.471339530400561,0,12.0,0.491544984351032,0,8.0,0.5534001269393249,0,7.0,0.908452462832161,0,0.0,0.9228351925873913,0,0.0,0.884677897916798,0,0.0,0.8256807005492085,0,6.0,0.8847547300664729,0,0.0,1.0,0,0.0,0.7872627289136443,0,0.0,0.9234323880001926,6,56.0,0.4557031261277431,5,67.0,0.08043629512198094,0,0.0,0.9561909290533085,0,0.0,0.8758815888518144,5,38.0,0.510176340494165,0,0.0,0.8946174541472303,16,194.0
50.0,22,200.0,1.4705882352941178,8.882867582417626,2,8.0,0.641447767231654,0,4.0,0.8369418266956676,0,4.0,0.8958871324160751,0,0.0,0.927671407334717,1,2.0,0.5473652275489705,1,1.0,0.2702454634028429,0,2.0,0.8861676803544156,0,0.0,1.0,2,5.0,0.5499180092086885,0,0.0,0.9408016217201824,8,91.0,0.3376455796807258,5,94.0,0.48936084167028465,0,0.0,0.9625243027874612,2,2.0,0.4443313124929547,1,26.0,0.6014258085256605,0,2.0,0.7794109248620706,22,241.0
