step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.42552090801269,0,0.0,0.9450326681053731,0,0.0,0.9442057204337138,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9469539101380072,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9450439761281819,0,0.0,0.9410651748586152,0,0.0,0.939562065980952,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9431114025018859,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.267805180131084,0,0.0,0.9320520433296827,0,0.0,0.9661629776058043,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8806814730159158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9676673037562631,0,0.0,0.9656174645232917,0,0.0,0.9653022568125714,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9680057134347682,0,0.0,1.0,0,0.0
15.0,3,3.0,0.075,10.825525717583343,1,1.0,0.7766990730324309,0,0.0,0.8316778078635307,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9551199601058737,0,0.0,0.4675026283293895,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6411204031864207,0,0.0,0.7034186294355582,0,0.0,0.9620051424050678,0,0.0,0.9471289962949643,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5677058843085074,0,0.0,1.0,3,3.0
20.0,8,29.0,0.5178571428571429,10.064566892453072,2,9.0,0.6903526472931264,2,3.0,0.7406723967858162,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9285841663181662,0,0.0,0.9500545861238723,0,0.0,1.0,0,0.0,1.0,2,9.0,0.5471814446415784,2,8.0,0.4701864362320823,0,0.0,0.9273782849479796,0,0.0,0.9330567397006075,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7498703310130358,0,2.0,0.43837709998582575,8,31.0
25.0,1,2.0,0.027777777777777776,10.008903468651567,1,3.0,0.6232065318625815,0,0.0,0.7007686519625034,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9605118099141688,0,0.0,0.8454411058456296,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6069930867439012,0,4.0,0.6281152809537325,0,4.0,0.7999641816019935,0,4.0,0.7478802726444195,0,4.0,0.39115026952106435,0,4.0,0.41140459018196557,0,0.0,0.9677466752399135,0,3.0,0.9026920142664032,1,29.0
30.0,10,28.0,0.35,10.025772114974092,3,13.0,0.6139644667101716,2,6.0,0.4911413847473792,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9551664807055461,2,4.0,0.49792926515928426,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8688221839532971,0,0.0,0.9510036825110355,0,4.0,0.8851541648910489,2,7.0,0.6114484302587502,0,4.0,0.8465553221381348,0,4.0,0.8462460603231339,1,2.0,0.6753037890196218,0,3.0,0.8933144415783977,10,47.0
35.0,15,68.0,0.7083333333333334,8.947424082051926,5,32.0,0.5257700952602037,0,1.0,0.6577196147515424,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9523607515496554,0,2.0,0.6971456125049234,0,2.0,0.38836473506501973,0,0.0,1.0,0,4.0,0.6384326443239072,1,1.0,0.613921628280872,1,6.0,0.817327968345912,5,26.0,0.5837798383816755,0,4.0,0.877819814974976,0,4.0,0.9271942279631294,2,10.0,0.5012323968687842,1,4.0,0.09778033079294292,15,96.0
40.0,22,106.0,0.9464285714285714,7.711001778350507,0,25.0,0.5217811550969954,1,8.0,0.6437712437458857,0,4.0,0.44707242155837645,0,0.0,1.0,0,0.0,0.9570113623410968,0,0.0,0.8820251246842883,0,4.0,0.8456321644719281,0,0.0,1.0,2,10.0,0.695490110333093,3,11.0,0.45052185028036706,2,8.0,0.6846408964682549,6,48.0,0.24747184293199576,2,6.0,0.31105169878173566,2,6.0,0.1691509725431853,4,25.0,0.5142515354668608,0,6.0,0.6259095519706905,22,161.0
45.0,21,165.0,1.375,7.8634119009960255,3,9.0,0.539947494397294,0,4.0,0.7819030244930895,0,8.0,0.7537243689199089,0,4.0,0.4599423003396837,0,0.0,0.9217690166930121,0,0.0,0.8286302445803333,0,4.0,0.8888912861072423,0,0.0,1.0,0,6.0,0.7130380318161711,0,7.0,0.5070198640066509,4,22.0,0.4269780608206709,7,83.0,0.10242977919342873,1,7.0,0.181273343366686,0,7.0,0.21477876360032472,6,52.0,0.5333793494132173,0,0.0,0.8546137071756643,21,213.0
50.0,14,78.0,0.5735294117647058,8.67656796306467,2,9.0,0.5138762959093355,0,2.0,0.8721721746516101,0,8.0,0.8660735478321416,0,4.0,0.894126487382688,0,0.0,0.9639720392992682,1,3.0,0.7113338664282536,2,8.0,0.4202998413333745,0,0.0,1.0,1,5.0,0.5498383835076741,0,0.0,0.9422985584521903,5,49.0,0.35718715537490503,1,69.0,0.5488129488338555,0,7.0,0.7840985856046243,0,4.0,0.8176826441037841,2,44.0,0.4533456356768995,0,0.0,0.7973554247173791,14,212.0
55.0,24,90.0,0.5921052631578947,8.762817845761088,6,26.0,0.49444782309846463,1,3.0,0.5351546905254714,0,4.0,0.8096872616331192,0,4.0,0.9130923813569449,0,0.0,0.954886291583507,0,0.0,0.7852884573923657,7,35.0,0.17853742874283465,0,0.0,1.0,3,19.0,0.5586527349777813,1,2.0,0.5788530508526666,2,37.0,0.5777397684495386,0,15.0,0.7633953488899651,0,8.0,0.8491959436805577,0,4.0,0.8863495881092255,4,22.0,0.3775339912790711,0,4.0,0.8159455937695106,24,183.0
60.0,32,161.0,1.00625,7.46761482314443,1,29.0,0.5201255750107368,5,22.0,0.33792182028361706,2,8.0,0.5052102359246967,2,6.0,0.48254193875551343,0,2.0,0.8139969836730628,3,8.0,0.6096295319279056,8,72.0,0.007129363723171191,0,0.0,1.0,3,34.0,0.47429589619511286,4,15.0,0.39225528850324676,0,4.0,0.7303362747688308,0,4.0,0.7565529389742986,0,4.0,0.8898620376677194,0,4.0,0.21924620080628357,4,39.0,0.24313447233032426,0,4.0,0.8366372099989345,32,255.0
65.0,38,221.0,1.2556818181818181,7.538582917859762,3,10.0,0.5762110339030266,6,53.0,0.5478648055769637,0,4.0,0.6041638546115103,6,31.0,0.3146478497468087,0,4.0,0.885515699537507,5,27.0,0.43470893102359415,3,76.0,0.14892950247651002,0,2.0,0.41497157365267495,3,49.0,0.5451617879147407,0,13.0,0.5130371517178354,3,10.0,0.4752208854393301,0,4.0,0.8678440379091458,2,7.0,0.5370703466337747,0,7.0,0.286455667775045,7,51.0,0.36557357843973737,0,0.0,0.9098527915846949,38,348.0
70.0,23,120.0,0.6349206349206349,7.983995387326715,3,13.0,0.5667660001517683,0,47.0,0.5915617347741262,0,0.0,0.7331517633275589,0,31.0,0.4354316536112075,0,4.0,0.8567623573171493,2,24.0,0.2923625273523146,0,29.0,0.7181529228113643,0,8.0,0.6994507689932729,1,20.0,0.5994244464599002,0,4.0,0.7057062591319827,6,37.0,0.32515504226249753,1,5.0,0.5334091749773214,0,5.0,0.24127867365426386,0,6.0,0.7666023044803499,9,87.0,0.4809395894047076,1,1.0,0.7307040053475169,23,321.0
75.0,36,195.0,1.0051546391752577,8.528074706739998,6,32.0,0.5134985224319454,2,10.0,0.510094539064982,2,5.0,0.32273407612150595,3,16.0,0.6648992112076293,2,5.0,0.7036185098776392,1,8.0,0.6255764122236772,0,8.0,0.8321790635987588,0,8.0,0.9109261832271515,3,15.0,0.6854874193533009,0,4.0,0.952847988362641,8,75.0,0.44379642566478333,0,2.0,0.32025136559545025,3,15.0,0.23712509979672655,0,8.0,0.8393695737626614,4,84.0,0.42798064642033085,2,14.0,0.6157186919839809,36,309.0
80.0,35,223.0,1.0721153846153846,7.75448406589124,2,36.0,0.46803236164954204,2,12.0,0.40692327170749587,6,36.0,0.14867930531868823,3,28.0,0.5824575449155809,3,17.0,0.3852845330033766,1,4.0,0.5123861574627193,2,10.0,0.5865797105575202,0,4.0,0.9235965637336004,0,9.0,0.7273012030419695,0,4.0,0.8861986469328514,10,120.0,0.44745683981939727,3,9.0,0.0010360360303726982,0,15.0,0.6796683815644637,0,8.0,0.6605136439888758,3,41.0,0.32684410016981336,0,4.0,0.6434500005276398,35,357.0
85.0,46,348.0,1.5675675675675675,7.0247147431516535,2,12.0,0.6004903224075322,5,37.0,0.628405190343404,1,41.0,0.5559643513640188,3,47.0,0.31856910817072814,5,44.0,0.3656665219235166,3,19.0,0.37297409360395045,1,11.0,0.2701292855352241,1,1.0,0.5969905682584583,1,5.0,0.5594673929589804,2,7.0,0.5685503698445689,13,173.0,0.2664366738678042,0,9.0,0.7763852153815934,0,8.0,0.8702204408562686,1,8.0,0.24953694214352432,5,59.0,0.3934224324141741,3,17.0,0.5383401306742894,46,498.0
90.0,62,529.0,2.361607142857143,7.086783154306295,3,15.0,0.475760875061441,5,62.0,0.5790417628908154,0,11.0,0.8216140001953196,1,27.0,0.5025316968036471,7,76.0,0.4685014986671249,3,38.0,0.19957038033064345,5,24.0,0.406413728790632,4,18.0,0.4593624003203586,0,5.0,0.4295205916226094,3,25.0,0.4508095289286635,14,242.0,0.14210831287787493,0,2.0,0.9292209242486633,0,4.0,0.8562392887158707,7,28.0,0.38296999010693267,9,85.0,0.4442802189187244,1,18.0,0.4007977107213001,62,680.0
95.0,68,553.0,2.4148471615720526,6.9464220693703025,6,33.0,0.5006680639305943,3,53.0,0.3315934513667265,2,13.0,0.044492007908709705,0,5.0,0.7690184534065102,9,117.0,0.5198110517685972,0,15.0,0.732007549437993,7,60.0,0.43658224284985075,2,17.0,0.08790467021283567,2,6.0,0.5529413331235429,3,40.0,0.7094011952530536,9,243.0,0.3321651358552975,0,2.0,0.8622919336830599,0,4.0,0.378656292528144,7,63.0,0.5415522740212299,12,134.0,0.3601613400439878,6,32.0,0.4653724882444042,68,837.0
100.0,62,609.0,2.569620253164557,7.230599352396785,4,34.0,0.47825407305558987,1,18.0,0.49683994775946033,5,37.0,0.12176921981323359,1,4.0,0.7550738443223025,11,163.0,0.4652307580636639,0,2.0,0.8987582877721206,2,55.0,0.4082263968566859,5,29.0,0.19965905881257778,0,7.0,0.7040969148595366,3,55.0,0.6891500899999431,3,134.0,0.48564757563635996,0,4.0,0.8513289928245892,1,5.0,0.19791777785058837,7,98.0,0.3989876890835844,13,197.0,0.22154926477612255,6,58.0,0.5028976328200166,62,900.0
