step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.62214562005829,0,0.0,0.8322792214862358,0,0.0
20.0,0,0.0,0.0,13.615317067394297,0,0.0,0.97463111787455,0,0.0
25.0,0,0.0,0.0,13.723548483424619,0,0.0,0.9824843688202947,0,0.0
30.0,0,0.0,0.0,13.093929493082554,0,0.0,0.8916914309563498,0,0.0
35.0,0,0.0,0.0,13.5537538849899,0,0.0,0.9507236733911599,0,0.0
40.0,0,0.0,0.0,13.861529793768824,0,0.0,0.9733870216284153,0,0.0
45.0,0,0.0,0.0,13.509987761255223,0,0.0,0.978186373797412,0,0.0
50.0,0,0.0,0.0,13.514784764409555,0,0.0,0.9779538323760283,0,0.0
55.0,0,0.0,0.0,13.133376026095608,0,0.0,0.938698575696727,0,0.0
60.0,0,0.0,0.0,13.260727218133022,0,0.0,0.9680605345268395,0,0.0
65.0,0,0.0,0.0,13.208682834579273,0,0.0,0.9513960677087967,0,0.0
70.0,0,0.0,0.0,11.38025925504158,0,0.0,0.8168976306188664,0,0.0
75.0,1,5.0,0.35714285714285715,10.931279395567987,1,9.0,0.7943444240982493,1,9.0
80.0,2,13.0,0.9285714285714286,10.866946812125464,2,13.0,0.833213422252475,2,13.0
85.0,2,23.0,1.4375,11.019040036957913,2,23.0,0.8189699791557005,2,23.0
90.0,2,33.0,2.0625,11.255227160795924,2,33.0,0.8230629008615858,2,33.0
95.0,3,46.0,2.3,10.666264311742253,3,46.0,0.7805160952003306,3,46.0
100.0,3,61.0,2.5416666666666665,11.130799088448912,3,61.0,0.8145228118522632,3,61.0
105.0,3,76.0,2.814814814814815,11.265291481996405,3,76.0,0.8338512037600435,3,76.0
110.0,5,93.0,3.206896551724138,10.522780441582242,5,93.0,0.7735660473983008,5,93.0
115.0,5,116.0,4.0,10.455782098931074,5,121.0,0.7572857402879092,5,121.0
120.0,5,133.0,4.433333333333334,10.100161555615623,5,133.0,0.752906965260825,5,133.0
125.0,4,25.0,0.7352941176470589,9.745044229986611,4,160.0,0.7023243942959896,4,160.0
130.0,2,13.0,0.37142857142857144,10.641012497757735,2,36.0,0.8345892789809611,2,36.0
135.0,3,21.0,0.5526315789473685,10.949785168553221,3,54.0,0.8088177695417518,3,54.0
140.0,5,42.0,1.024390243902439,10.88864677608542,5,65.0,0.7831856218239387,5,65.0
145.0,5,60.0,1.4285714285714286,10.893880677772911,5,92.0,0.760844678458467,5,92.0
150.0,6,90.0,1.9565217391304348,11.133606430513554,6,113.0,0.7887604662957362,6,113.0
155.0,4,73.0,1.553191489361702,11.000875363852836,4,103.0,0.7867431299952822,4,103.0
160.0,7,69.0,1.38,9.784089811012956,7,70.0,0.7173005190158697,7,70.0
165.0,8,109.0,1.981818181818182,10.451655763659183,8,114.0,0.7512556510181353,8,114.0
170.0,10,151.0,2.603448275862069,10.283030655152416,10,152.0,0.7070789706852829,10,152.0
175.0,7,134.0,2.126984126984127,10.557423349508722,7,203.0,0.7178540376670612,7,203.0
180.0,4,120.0,1.7391304347826086,11.089685852406467,4,120.0,0.8543858027117557,4,120.0
185.0,5,127.0,1.8142857142857143,10.769159010742884,5,145.0,0.783269044727324,5,145.0
190.0,7,160.0,2.1052631578947367,11.163203601146245,7,160.0,0.8067185569862212,7,160.0
195.0,9,202.0,2.58974358974359,11.35469523638079,9,202.0,0.8036070261748004,9,202.0
200.0,10,249.0,3.1125,11.380644189649988,10,249.0,0.8024789293955736,10,249.0
205.0,11,300.0,3.7037037037037037,11.14077395316481,11,300.0,0.763540735529885,11,300.0
210.0,13,359.0,4.273809523809524,10.739781998334067,13,359.0,0.7299815300833726,13,359.0
215.0,15,433.0,4.811111111111111,10.533952097540912,15,433.0,0.7350137958938989,15,433.0
220.0,11,346.0,3.7204301075268815,10.331865108330767,11,505.0,0.7339259665428965,11,505.0
225.0,10,307.0,3.1649484536082473,10.330312592581134,10,321.0,0.7807583296261801,10,321.0
230.0,10,305.0,2.9901960784313726,10.154029614428017,10,380.0,0.7361157358541619,10,380.0
235.0,9,320.0,2.9906542056074765,10.526053175347135,9,339.0,0.8097403213230686,9,339.0
240.0,9,365.0,3.2589285714285716,11.06616507881525,9,374.0,0.8163028084478043,9,374.0
245.0,10,415.0,3.672566371681416,11.42796824867875,10,422.0,0.8132375237328765,10,422.0
250.0,10,431.0,3.747826086956522,11.438530759415691,10,474.0,0.7879492823565587,10,474.0
255.0,15,487.0,4.3097345132743365,10.63968103838003,15,494.0,0.7212035030616606,15,494.0
260.0,14,473.0,3.9747899159663866,10.481379116075585,14,582.0,0.702827968097264,14,582.0
265.0,14,514.0,4.283333333333333,10.608484780534452,14,514.0,0.7591534624147284,14,514.0
270.0,12,514.0,4.145161290322581,10.804321662581595,12,593.0,0.7448549515674805,12,593.0
275.0,9,481.0,3.6717557251908395,10.934614152284805,9,509.0,0.7756503205840398,9,509.0
280.0,11,536.0,3.9703703703703703,11.358962421067579,11,543.0,0.8059993563782862,11,543.0
285.0,14,600.0,4.225352112676056,11.459142997412162,14,600.0,0.7822233641049056,14,600.0
290.0,17,675.0,4.655172413793103,11.46700995649012,17,675.0,0.7580720595749354,17,675.0
